Model,MAE,RMSE,MAPE,sMAPE,WMAPE,R2
Ensemble (Tuned),33531.220511125284,40837.66941162675,2.1713564397279215,2.1547404732850524,2.1593048883956643,0.6453562357131775
Random Forest (Tuned),33810.43423385357,41282.46392820361,2.1985058246602907,2.177228500221745,2.177285371873571,0.6375887672205136
XGBoost (Tuned),37037.866666666676,45808.23226452889,2.3936996290421324,2.3826426862570864,2.3851218455512235,0.5537713041613419
Naive,79261.2941666667,100299.57748879642,5.0513646849553595,5.0711218328183065,5.1041774604615044,-1.1392849550678954
Moving Average,81651.6188888889,92466.5488597982,5.258198363610219,5.251233943900587,5.258106836692676,-0.8181919357707355
Linear Regression,105566.47952755868,130118.81692558495,6.79918454427531,6.469103211291194,6.798148466410489,-2.600399076323778
